Name,Alternating,DT Name,DT Rank,DT Notation,Conway Notation,Gauss Notation,PD Notation,Crossing Number,Unknotting Number,Bridge Index,Braid Index,Braid Length,Braid Notation,Symmetry Type,Full Symmetry Group,Montesinos Notation
12a_578,Y,12a_578,1380,[4; 12; 16; 18; 20; 2; 22; 24; 10; 8; 6; 14],[3 2 1;3;2 1],{1; -2; 3; -1; 4; -5; 6; -7; 8; -9; 2; -3; 10; -11; 12; -4; 9; -6; 7; -8; 5; -10; 11; -12},[[1;5;2;4];[3;13;4;12];[5;16;6;17];[7;18;8;19];[9;20;10;21];[11;3;12;2];[13;22;14;23];[15;24;16;1];[17;10;18;11];[19;8;20;9];[21;6;22;7];[23;14;24;15]],12,2,3,4,,{-1;-1;-1;-2;3;3;-2;-2;-2;3;-2;-1;2},reversible,D1,K(2/3;1/3;7/10)
12a_579,Y,12a_579,1381,[4; 12; 16; 18; 20; 2; 24; 10; 22; 8; 6; 14],[3 1 1 1 1 2 1 2],{1; -2; 3; -1; 4; -5; 6; -7; 8; -9; 2; -3; 10; -11; 9; -4; 12; -6; 7; -8; 5; -12; 11; -10},[[1;5;2;4];[3;13;4;12];[5;17;6;16];[7;18;8;19];[9;20;10;21];[11;3;12;2];[13;24;14;1];[15;11;16;10];[17;23;18;22];[19;8;20;9];[21;6;22;7];[23;14;24;15]],12,1,2,5,,{1;-2;3;-4;1;-4;1;-2;-4;3;-4;3},reversible,D2,K(49/177)
12a_580,Y,12a_580,1382,[4; 12; 16; 18; 20; 2; 24; 22; 6; 8; 10; 14],[6 3 1 2],{1; -2; 3; -1; 4; -5; 6; -7; 8; -9; 2; -3; 10; -11; 12; -4; 5; -6; 7; -8; 9; -12; 11; -10},[[1;5;2;4];[3;13;4;12];[5;16;6;17];[7;18;8;19];[9;20;10;21];[11;3;12;2];[13;24;14;1];[15;22;16;23];[17;6;18;7];[19;8;20;9];[21;10;22;11];[23;14;24;15]],12,[2;3],2,4,,{-1;2;-1;-2;3;3;-2;-2;-2;-2;-2;-2;3},reversible,D2,K(11/69)
12a_581,Y,12a_581,1383,[4; 12; 16; 18; 20; 2; 24; 22; 6; 10; 8; 14],[3 3 3 1 2],{1; -2; 3; -1; 4; -5; 6; -7; 8; -9; 2; -3; 10; -11; 12; -4; 5; -6; 9; -8; 7; -12; 11; -10},[[1;5;2;4];[3;13;4;12];[5;16;6;17];[7;18;8;19];[9;20;10;21];[11;3;12;2];[13;24;14;1];[15;22;16;23];[17;6;18;7];[19;10;20;11];[21;8;22;9];[23;14;24;15]],12,2,2,5,,{1;-2;-2;-2;-3;4;4;-3;-2;3;4;-1;-1;-2},reversible,D2,K(36/119)
12a_582,Y,12a_582,1384,[4; 12; 16; 18; 20; 2; 24; 22; 10; 8; 6; 14],[3 2 1 3 1 2],{1; -2; 3; -1; 4; -5; 6; -7; 8; -9; 2; -3; 10; -11; 12; -4; 9; -6; 7; -8; 5; -12; 11; -10},[[1;5;2;4];[3;13;4;12];[5;16;6;17];[7;18;8;19];[9;20;10;21];[11;3;12;2];[13;24;14;1];[15;22;16;23];[17;10;18;11];[19;8;20;9];[21;6;22;7];[23;14;24;15]],12,2,2,5,,{1;-2;-3;4;4;-3;-2;3;4;-1;-1;-2;-2;-2},reversible,D2,K(39/131)
12a_583,Y,12a_583,1385,[4; 12; 16; 18; 20; 14; 2; 24; 22; 8; 6; 10],[3 1 1 2 1 2 2],{1; -2; 3; -1; 4; -5; 6; -7; 8; -9; 10; -3; 2; -10; 11; -4; 12; -6; 7; -8; 5; -12; 9; -11},[[1;5;2;4];[3;12;4;13];[5;16;6;17];[7;19;8;18];[9;21;10;20];[11;15;12;14];[13;2;14;3];[15;24;16;1];[17;22;18;23];[19;9;20;8];[21;7;22;6];[23;10;24;11]],12,2,2,5,,{-1;2;-3;4;-1;-3;4;4;4;-3;2;-3},reversible,D2,K(45/161)
12a_584,Y,12a_584,1386,[4; 12; 16; 18; 20; 14; 2; 24; 22; 8; 10; 6],[4 1 1 1 1 2 2],{1; -2; 3; -1; 4; -5; 6; -7; 8; -9; 10; -3; 2; -10; 11; -4; 12; -6; 7; -8; 9; -12; 5; -11},[[1;5;2;4];[3;12;4;13];[5;16;6;17];[7;19;8;18];[9;21;10;20];[11;15;12;14];[13;2;14;3];[15;24;16;1];[17;23;18;22];[19;9;20;8];[21;11;22;10];[23;6;24;7]],12,2,2,5,,{-1;2;-3;4;-1;4;4;4;-3;4;2;-3},reversible,D2,K(31/143)
12a_585,Y,12a_585,1387,[4; 12; 16; 18; 20; 14; 2; 24; 22; 10; 8; 6],[3 1 1 1 1 1 2 2],{1; -2; 3; -1; 4; -5; 6; -7; 8; -9; 10; -3; 2; -10; 11; -4; 12; -6; 9; -8; 7; -12; 5; -11},[[1;5;2;4];[3;12;4;13];[5;16;6;17];[7;19;8;18];[9;21;10;20];[11;15;12;14];[13;2;14;3];[15;24;16;1];[17;23;18;22];[19;11;20;10];[21;9;22;8];[23;6;24;7]],12,1,2,6,,{-1;2;-3;4;5;-1;5;4;-3;4;-5;2;-3},reversible,D2,K(50/181)
12a_586,Y,12a_586,1388,[4; 12; 16; 18; 22; 2; 20; 8; 6; 24; 10; 14],[3 1:2 1:2],{1; -2; 3; -1; 4; -5; 6; -7; 8; -9; 2; -3; 10; -11; 7; -4; 5; -6; 12; -10; 9; -8; 11; -12},[[1;5;2;4];[3;13;4;12];[5;17;6;16];[7;19;8;18];[9;23;10;22];[11;3;12;2];[13;21;14;20];[15;9;16;8];[17;7;18;6];[19;1;20;24];[21;11;22;10];[23;15;24;14]],12,[3;4],3,5,,{-1;2;2;3;1;3;1;2;2;2;-3;4;2;-3;4;3},chiral,1,Not Montesinos
12a_587,Y,12a_587,1389,[4; 12; 16; 18; 22; 2; 20; 10; 6; 24; 14; 8],[.3.2 1.2.2 0],{1; -2; 3; -1; 4; -5; 6; -7; 8; -9; 2; -3; 10; -11; 9; -4; 5; -6; 12; -10; 11; -8; 7; -12},[[1;5;2;4];[3;13;4;12];[5;17;6;16];[7;19;8;18];[9;22;10;23];[11;3;12;2];[13;21;14;20];[15;11;16;10];[17;7;18;6];[19;1;20;24];[21;15;22;14];[23;8;24;9]],12,3,3,4,,{-1;2;2;3;3;3;2;-1;2;2;2;-3;2},chiral,1,Not Montesinos
12a_588,Y,12a_588,1390,[4; 12; 16; 18; 22; 2; 20; 10; 24; 8; 14; 6],[8*2 1:2 0:2],{1; -2; 3; -1; 4; -5; 6; -7; 8; -9; 2; -3; 10; -11; 9; -4; 12; -6; 7; -10; 11; -8; 5; -12},[[1;5;2;4];[3;13;4;12];[5;17;6;16];[7;18;8;19];[9;22;10;23];[11;3;12;2];[13;21;14;20];[15;11;16;10];[17;1;18;24];[19;8;20;9];[21;15;22;14];[23;6;24;7]],12,1,3,4,,{-1;2;3;-1;3;-1;3;2;2;-1;2;-3;2},chiral,1,Not Montesinos
12a_589,Y,12a_589,1391,[4; 12; 16; 18; 22; 2; 20; 24; 6; 10; 14; 8],[.3.2.2.2 1 0],{1; -2; 3; -1; 4; -5; 6; -7; 8; -9; 2; -3; 10; -11; 12; -4; 5; -6; 9; -10; 11; -8; 7; -12},[[1;5;2;4];[3;13;4;12];[5;16;6;17];[7;18;8;19];[9;22;10;23];[11;3;12;2];[13;20;14;21];[15;24;16;1];[17;6;18;7];[19;10;20;11];[21;14;22;15];[23;8;24;9]],12,2,3,4,,{-1;-2;3;3;-2;-2;1;-2;3;-2;-2;-2;-1},chiral,1,Not Montesinos
