Name,Alternating,DT Name,DT Rank,DT Notation,Conway Notation,Gauss Notation,PD Notation,Crossing Number,Unknotting Number,Bridge Index,Braid Index,Braid Length,Braid Notation,Symmetry Type,Full Symmetry Group,Montesinos Notation
0_1,Y,?,?,?,?,?,?,0,0,1,1,0,{1;-1;1},?,?,?
3_1,Y,3a_1,2,[4; 6; 2],[3],{1; -2; 3; -1; 2; -3},[[1;5;2;4];[3;1;4;6];[5;3;6;2]],3,1,2,2,3,{1;1;1},reversible,Z2,K(1/3)
4_1,Y,4a_1,3,[4; 6; 8; 2],[22],{-1; 2; -3; 1; -4; 3; -2; 4},[[4;2;5;1];[8;6;1;5];[6;3;7;4];[2;7;3;8]],4,1,2,3,4,{1;-2;1;-2},fully amphicheiral,D4,K(2/5)
5_1,Y,5a_2,5,[6; 8; 10; 2; 4],[5],{-1; 2; -3; 4; -5; 1; -2; 3; -4; 5},[[2;8;3;7];[4;10;5;9];[6;2;7;1];[8;4;9;3];[10;6;1;5]],5,2,2,2,5,{1;1;1;1;1},reversible,Z2,K(1/5)
5_2,Y,5a_1,4,[4; 8; 10; 2; 6],[32],{1; -2; 3; -1; 4; -5; 2; -3; 5; -4},[[1;5;2;4];[3;9;4;8];[5;1;6;10];[7;3;8;2];[9;7;10;6]],5,1,2,3,6,{1;1;1;2;-1;2},reversible,D2,K(3/7)
6_1,Y,6a_3,8,[4; 8; 12; 10; 2; 6],[42],{1; -2; 3; -4; 2; -1; 5; -6; 4; -3; 6; -5},[[1;7;2;6];[3;10;4;11];[5;3;6;2];[7;1;8;12];[9;4;10;5];[11;9;12;8]],6,1,2,4,7,{1;1;2;-1;-3;2;-3},reversible,D2,K(4/9)
6_2,Y,6a_2,7,[4; 8; 10; 12; 2; 6],[312],{1; -2; 3; -4; 5; -6; 2; -1; 6; -3; 4; -5},[[1;8;2;9];[3;11;4;10];[5;1;6;12];[7;2;8;3];[9;7;10;6];[11;5;12;4]],6,1,2,3,6,{1;1;1;-2;1;-2},reversible,D2,K(4/11)
6_3,Y,6a_1,6,[4; 8; 10; 2; 12; 6],[2112],{-1; 2; -3; 1; -4; 5; -2; 3; -6; 4; -5; 6},[[4;2;5;1];[8;4;9;3];[12;9;1;10];[10;5;11;6];[6;11;7;12];[2;8;3;7]],6,1,2,3,6,{1;1;-2;1;-2;-2},fully amphicheiral,D4,K(5/13)
7_1,Y,7a_7,15,[8; 10; 12; 14; 2; 4; 6],[7],{1; -2; 3; -4; 5; -6; 7; -1; 2; -3; 4; -5; 6; -7},[[1;9;2;8];[3;11;4;10];[5;13;6;12];[7;1;8;14];[9;3;10;2];[11;5;12;4];[13;7;14;6]],7,3,2,2,7,{1;1;1;1;1;1;1},reversible,Z2,K(1/7)
7_2,Y,7a_4,12,[4; 10; 14; 12; 2; 8; 6],[52],{-1; 2; -3; 4; -5; 6; -7; 1; -2; 7; -6; 5; -4; 3},[[2;10;3;9];[4;14;5;13];[6;12;7;11];[8;2;9;1];[10;8;11;7];[12;6;13;5];[14;4;1;3]],7,1,2,4,9,{1;1;1;2;-1;2;3;-2;3},reversible,D2,K(5/11)
7_3,Y,7a_5,13,[6; 10; 12; 14; 2; 4; 8],[43],{1; -2; 3; -4; 5; -6; 7; -1; 2; -3; 4; -7; 6; -5},[[1;9;2;8];[3;11;4;10];[5;1;6;14];[7;13;8;12];[9;3;10;2];[11;5;12;4];[13;7;14;6]],7,2,2,3,8,{1;1;1;1;1;2;-1;2},reversible,D2,K(4/13)
7_4,Y,7a_6,14,[6; 10; 12; 14; 4; 2; 8],[313],{-1; 2; -3; 4; -5; 6; -7; 3; -2; 1; -4; 7; -6; 5},[[2;10;3;9];[4;12;5;11];[6;14;7;13];[8;4;9;3];[10;2;11;1];[12;8;13;7];[14;6;1;5]],7,2,2,4,9,{1;1;2;-1;2;2;3;-2;3},reversible,D4,K(4/15)
7_5,Y,7a_3,11,[4; 10; 12; 14; 2; 8; 6],[322],{-1; 2; -3; 1; -4; 5; -6; 7; -2; 3; -7; 4; -5; 6},[[2;10;3;9];[4;2;5;1];[6;14;7;13];[8;12;9;11];[10;4;11;3];[12;6;13;5];[14;8;1;7]],7,2,2,3,8,{1;1;1;1;2;-1;2;2},reversible,D2,K(7/17)
7_6,Y,7a_2,10,[4; 8; 12; 2; 14; 6; 10],[2212],{1; -2; 3; -4; 5; -6; 7; -3; 2; -7; 6; -1; 4; -5},[[1;13;2;12];[3;9;4;8];[5;1;6;14];[7;10;8;11];[9;3;10;2];[11;6;12;7];[13;5;14;4]],7,1,2,4,7,{1;1;-2;1;3;-2;3},reversible,D2,K(7/19)
7_7,Y,7a_1,9,[4; 8; 10; 12; 2; 14; 6],[21112],{1; -2; 3; -4; 5; -6; 4; -7; 2; -1; 7; -3; 6; -5},[[1;10;2;11];[3;13;4;12];[5;14;6;1];[7;5;8;4];[9;2;10;3];[11;9;12;8];[13;6;14;7]],7,1,2,4,7,{-1;2;-1;2;-3;2;-3},reversible,D4,K(8/21)
8_1,Y,8a_11,26,[4; 10; 16; 14; 12; 2; 8; 6],[62],{1; -2; 3; -4; 5; -3; 2; -1; 6; -7; 8; -5; 4; -8; 7; -6},[[1;9;2;8];[3;7;4;6];[5;12;6;13];[7;3;8;2];[9;1;10;16];[11;15;12;14];[13;4;14;5];[15;11;16;10]],8,1,2,5,10,{1;1;2;-1;2;3;-2;-4;3;-4},reversible,D2,K(6/13)
8_2,Y,8a_8,23,[4; 10; 12; 14; 16; 2; 6; 8],[512],{1; -2; 3; -4; 5; -6; 7; -8; 2; -1; 8; -3; 4; -5; 6; -7},[[1;10;2;11];[3;13;4;12];[5;15;6;14];[7;1;8;16];[9;2;10;3];[11;9;12;8];[13;5;14;4];[15;7;16;6]],8,2,2,3,8,{1;1;1;1;1;-2;1;-2},reversible,D2,K(6/17)
8_3,Y,8a_18,33,[6; 12; 10; 16; 14; 4; 2; 8],[44],{-1; 2; -3; 4; -5; 1; -6; 7; -8; 5; -4; 3; -2; 8; -7; 6},[[6;2;7;1];[14;10;15;9];[10;5;11;6];[12;3;13;4];[4;11;5;12];[2;13;3;14];[16;8;1;7];[8;16;9;15]],8,2,2,5,10,{1;1;2;-1;-3;2;-3;-4;3;-4},fully amphicheiral,D4,K(4/17)
8_4,Y,8a_17,32,[6; 10; 12; 16; 14; 4; 2; 8],[413],{-1; 2; -3; 4; -5; 6; -7; 8; -4; 1; -2; 3; -8; 7; -6; 5},[[2;11;3;12];[4;9;5;10];[6;16;7;15];[8;14;9;13];[10;1;11;2];[12;3;13;4];[14;8;15;7];[16;6;1;5]],8,2,2,4,9,{-1;-1;-1;2;-1;2;3;-2;3},reversible,D2,K(5/19)
8_5,Y,8a_13,28,[6; 8; 12; 2; 14; 16; 4; 10],[3;3;2],{1; -2; 3; -4; 5; -1; 2; -3; 6; -7; 8; -5; 4; -6; 7; -8},[[1;7;2;6];[3;9;4;8];[5;12;6;13];[7;3;8;2];[9;15;10;14];[11;1;12;16];[13;4;14;5];[15;11;16;10]],8,2,3,3,8,{1;1;1;-2;1;1;1;-2},reversible,D2,K(1/3;1/3;1/2)
8_6,Y,8a_10,25,[4; 10; 14; 16; 12; 2; 8; 6],[332],{-1; 2; -3; 4; -5; 6; -7; 8; -2; 1; -8; 7; -4; 5; -6; 3},[[2;9;3;10];[4;14;5;13];[6;16;7;15];[8;12;9;11];[10;1;11;2];[12;8;13;7];[14;6;15;5];[16;4;1;3]],8,2,2,4,9,{1;1;1;1;2;-1;-3;2;-3},reversible,D2,K(10/23)
8_7,Y,8a_6,21,[4; 10; 12; 14; 2; 16; 6; 8],[4112],{-1; 2; -3; 4; -5; 6; -7; 1; -2; 5; -8; 3; -4; 8; -6; 7},[[2;9;3;10];[4;14;5;13];[6;15;7;16];[8;1;9;2];[10;5;11;6];[12;4;13;3];[14;12;15;11];[16;7;1;8]],8,1,2,3,8,{-1;-1;-1;-1;2;-1;2;2},reversible,D2,K(9/23)
8_8,Y,8a_4,19,[4; 8; 12; 2; 16; 14; 6; 10],[2312],{1; -2; 3; -4; 5; -1; 2; -5; 6; -7; 8; -3; 4; -8; 7; -6},[[1;7;2;6];[3;12;4;13];[5;9;6;8];[7;3;8;2];[9;16;10;1];[11;14;12;15];[13;4;14;5];[15;10;16;11]],8,2,2,4,9,{-1;-1;-1;-2;1;3;-2;3;3},reversible,D2,K(9/25)
8_9,Y,8a_16,31,[6; 10; 12; 14; 16; 4; 2; 8],[3113],{-1; 2; -3; 4; -5; 1; -6; 7; -8; 3; -4; 5; -2; 6; -7; 8},[[6;2;7;1];[14;8;15;7];[10;3;11;4];[2;13;3;14];[12;5;13;6];[4;11;5;12];[16;10;1;9];[8;16;9;15]],8,1,2,3,8,{1;1;1;-2;1;-2;-2;-2},fully amphicheiral,D4,K(7/25)
8_10,Y,8a_3,18,[4; 8; 12; 2; 14; 16; 6; 10],[3;21;2],{-1; 2; -3; 4; -5; 6; -7; 8; -4; 5; -6; 1; -2; 7; -8; 3},[[2;14;3;13];[4;9;5;10];[6;11;7;12];[8;15;9;16];[10;5;11;6];[12;2;13;1];[14;7;15;8];[16;4;1;3]],8,2,3,3,8,{-1;-1;-1;2;-1;-1;2;2},reversible,D1,K(1/3;2/3;1/2)
8_11,Y,8a_9,24,[4; 10; 12; 14; 16; 2; 8; 6],[3212],{1; -2; 3; -4; 5; -6; 7; -8; 2; -1; 8; -3; 6; -5; 4; -7},[[1;10;2;11];[3;13;4;12];[5;15;6;14];[7;1;8;16];[9;2;10;3];[11;9;12;8];[13;7;14;6];[15;5;16;4]],8,1,2,4,9,{1;1;2;-1;2;2;-3;2;-3},reversible,D2,K(10/27)
8_12,Y,8a_5,20,[4; 8; 14; 10; 2; 16; 6; 12],[2222],{-1; 2; -3; 1; -4; 5; -6; 3; -2; 6; -7; 8; -5; 4; -8; 7},[[4;2;5;1];[10;8;11;7];[8;3;9;4];[2;9;3;10];[14;6;15;5];[16;11;1;12];[12;15;13;16];[6;14;7;13]],8,2,2,5,8,{1;-2;1;3;-2;-4;3;-4},fully amphicheiral,D4,K(12/29)
8_13,Y,8a_7,22,[4; 10; 12; 14; 2; 16; 8; 6],[31112],{1; -2; 3; -4; 5; -6; 7; -1; 2; -7; 8; -5; 4; -3; 6; -8},[[1;9;2;8];[3;14;4;15];[5;12;6;13];[7;11;8;10];[9;3;10;2];[11;16;12;1];[13;4;14;5];[15;6;16;7]],8,1,2,4,9,{1;1;-2;1;-2;-2;-3;2;-3},reversible,D2,K(11/29)
8_14,Y,8a_1,16,[4; 8; 10; 14; 2; 16; 6; 12],[22112],{-1; 2; -3; 4; -5; 6; -4; 7; -8; 1; -2; 8; -7; 3; -6; 5},[[2;12;3;11];[4;8;5;7];[6;15;7;16];[8;14;9;13];[10;2;11;1];[12;10;13;9];[14;4;15;3];[16;5;1;6]],8,1,2,4,9,{1;1;1;2;-1;2;-3;2;-3},reversible,D2,K(12/31)
8_15,Y,8a_2,17,[4; 8; 12; 2; 14; 6; 16; 10],[21;21;2],{1; -2; 3; -4; 5; -1; 2; -5; 6; -7; 8; -6; 4; -3; 7; -8},[[1;7;2;6];[3;15;4;14];[5;9;6;8];[7;3;8;2];[9;13;10;12];[11;1;12;16];[13;5;14;4];[15;11;16;10]],8,2,3,4,9,{1;1;-2;1;3;2;2;2;3},reversible,D2,K(2/3;2/3;1/2)
8_16,Y,8a_15,30,[6; 8; 14; 12; 4; 16; 2; 10],[.2.20],{-1; 2; -3; 4; -5; 1; -2; 6; -4; 7; -8; 5; -6; 3; -7; 8},[[2;7;3;8];[4;10;5;9];[6;1;7;2];[8;14;9;13];[10;15;11;16];[12;6;13;5];[14;3;15;4];[16;11;1;12]],8,2,3,3,8,{-1;-1;2;-1;-1;2;-1;2},reversible,D1,Not Montesinos
8_17,Y,8a_14,29,[6; 8; 12; 14; 4; 16; 2; 10],[.2.2],{-1; 2; -3; 4; -5; 1; -6; 3; -4; 7; -8; 5; -2; 6; -7; 8},[[6;2;7;1];[14;8;15;7];[8;3;9;4];[2;13;3;14];[12;5;13;6];[4;9;5;10];[16;12;1;11];[10;16;11;15]],8,1,3,3,8,{1;1;-2;1;-2;1;-2;-2},negative amphicheiral,D1,Not Montesinos
8_18,Y,8a_12,27,[6; 8; 10; 12; 14; 16; 2; 4],[8*],{-1; 2; -3; 4; -5; 1; -6; 3; -7; 5; -8; 6; -2; 7; -4; 8},[[6;2;7;1];[8;3;9;4];[16;11;1;12];[2;14;3;13];[4;15;5;16];[10;6;11;5];[12;7;13;8];[14;10;15;9]],8,2,3,3,8,{1;-2;1;-2;1;-2;1;-2},fully amphicheiral,D8,Not Montesinos
8_19,N,8n_3,36,[4; 8; -12; 2; -14; -16; -6; -10],[3;3;2-],{-1; 2; -3; -4; 5; -6; 7; -8; 4; -5; 6; 1; -2; -7; 8; 3},[[2;14;3;13];[5;11;6;10];[7;15;8;14];[9;5;10;4];[11;7;12;6];[12;2;13;1];[15;9;16;8];[16;4;1;3]],8,3,3,3,8,{1;1;1;2;1;1;1;2},reversible,Z2,K(1/3;1/3;-1/2)
8_20,N,8n_1,34,[4; 8; -12; 2; -14; -6; -16; -10],[3;21;2-],{1; -2; -3; 4; 5; -1; 2; -5; -6; 7; -8; 6; -4; 3; -7; 8},[[1;7;2;6];[4;13;5;14];[5;9;6;8];[7;3;8;2];[10;15;11;16];[12;9;13;10];[14;3;15;4];[16;11;1;12]],8,1,3,3,8,{1;1;1;-2;-1;-1;-1;-2},reversible,D1,K(1/3;2/3;-1/2)
8_21,N,8n_2,35,[4; 8; -12; 2; 14; -6; 16; 10],[21;21;2-],{1; -2; -3; 4; 5; -1; 2; -5; 6; -7; 8; -6; -4; 3; 7; -8},[[1;7;2;6];[4;13;5;14];[5;9;6;8];[7;3;8;2];[9;13;10;12];[11;1;12;16];[14;3;15;4];[15;11;16;10]],8,1,3,3,8,{1;1;1;2;-1;-1;2;2},reversible,D2,K(2/3;2/3;-1/2)
9_1,Y,9a_41,77,[10; 12; 14; 16; 18; 2; 4; 6; 8],[9],{1; -2; 3; -4; 5; -6; 7; -8; 9; -1; 2; -3; 4; -5; 6; -7; 8; -9},[[1;11;2;10];[3;13;4;12];[5;15;6;14];[7;17;8;16];[9;1;10;18];[11;3;12;2];[13;5;14;4];[15;7;16;6];[17;9;18;8]],9,4,2,2,9,{1;1;1;1;1;1;1;1;1},reversible,Z2,K(1/9)
9_2,Y,9a_27,63,[4; 12; 18; 16; 14; 2; 10; 8; 6],[72],{-1; 2; -3; 4; -5; 3; -2; 1; -6; 7; -8; 9; -4; 5; -9; 8; -7; 6},[[2;8;3;7];[4;14;5;13];[6;4;7;3];[8;2;9;1];[10;18;11;17];[12;16;13;15];[14;6;15;5];[16;12;17;11];[18;10;1;9]],9,1,2,5,12,{1;1;1;2;-1;2;3;-2;3;4;-3;4},reversible,D2,K(7/15)
9_3,Y,9a_38,74,[8; 12; 14; 16; 18; 2; 4; 6; 10],[63],{1; -2; 3; -4; 5; -6; 7; -8; 9; -1; 2; -5; 4; -3; 6; -7; 8; -9},[[1;11;2;10];[3;15;4;14];[5;13;6;12];[7;17;8;16];[9;1;10;18];[11;3;12;2];[13;5;14;4];[15;7;16;6];[17;9;18;8]],9,3,2,3,10,{1;1;1;1;1;1;1;2;-1;2},reversible,D2,K(6/19)
9_4,Y,9a_35,71,[6; 12; 14; 18; 16; 2; 4; 10; 8],[54],{-1; 2; -3; 4; -5; 6; -7; 8; -9; 5; -4; 3; -2; 1; -6; 7; -8; 9},[[2;14;3;13];[4;12;5;11];[6;16;7;15];[8;18;9;17];[10;6;11;5];[12;4;13;3];[14;2;15;1];[16;8;17;7];[18;10;1;9]],9,2,2,4,11,{1;1;1;1;1;2;-1;2;3;-2;3},reversible,D2,K(5/21)
9_5,Y,9a_36,72,[6; 12; 14; 18; 16; 4; 2; 10; 8],[513],{-1; 2; -3; 4; -5; 6; -7; 8; -9; 5; -4; 3; -2; 1; -6; 9; -8; 7},[[2;14;3;13];[4;12;5;11];[6;16;7;15];[8;18;9;17];[10;6;11;5];[12;4;13;3];[14;2;15;1];[16;10;17;9];[18;8;1;7]],9,2,2,5,12,{1;1;2;-1;2;2;3;-2;3;4;-3;4},reversible,D2,K(6/23)
9_6,Y,9a_23,59,[4; 12; 14; 16; 18; 2; 10; 6; 8],[522],{1; -2; 3; -4; 5; -3; 2; -6; 7; -8; 9; -1; 4; -5; 6; -7; 8; -9},[[1;13;2;12];[3;7;4;6];[5;15;6;14];[7;3;8;2];[9;17;10;16];[11;1;12;18];[13;5;14;4];[15;9;16;8];[17;11;18;10]],9,3,2,3,10,{1;1;1;1;1;1;2;-1;2;2},reversible,D2,K(11/27)
9_7,Y,9a_26,62,[4; 12; 16; 18; 14; 2; 10; 8; 6],[342],{-1; 2; -3; 4; -5; 6; -7; 5; -2; 3; -4; 1; -8; 9; -6; 7; -9; 8},[[2;10;3;9];[4;12;5;11];[6;16;7;15];[8;6;9;5];[10;4;11;3];[12;2;13;1];[14;18;15;17];[16;8;17;7];[18;14;1;13]],9,2,2,4,11,{1;1;1;1;2;-1;2;3;-2;3;3},reversible,D2,K(13/29)
9_8,Y,9a_8,44,[4; 8; 14; 2; 18; 16; 6; 12; 10],[2412],{1; -2; 3; -4; 5; -6; 7; -8; 9; -5; 6; -9; 4; -3; 2; -1; 8; -7},[[1;16;2;17];[3;14;4;15];[5;11;6;10];[7;1;8;18];[9;13;10;12];[11;7;12;6];[13;4;14;5];[15;2;16;3];[17;9;18;8]],9,2,2,5,10,{1;1;-2;1;-2;-3;2;4;-3;4},reversible,D2,K(11/31)
9_9,Y,9a_33,69,[6; 12; 14; 16; 18; 2; 4; 10; 8],[423],{1; -2; 3; -4; 5; -6; 7; -3; 2; -8; 9; -1; 4; -5; 6; -7; 8; -9},[[1;13;2;12];[3;9;4;8];[5;15;6;14];[7;17;8;16];[9;3;10;2];[11;1;12;18];[13;5;14;4];[15;7;16;6];[17;11;18;10]],9,3,2,3,10,{1;1;1;1;1;2;-1;2;2;2},reversible,D2,K(9/31)
9_10,Y,9a_39,75,[8; 12; 14; 16; 18; 2; 6; 4; 10],[333],{1; -2; 3; -4; 5; -6; 7; -8; 9; -3; 2; -1; 4; -7; 6; -5; 8; -9},[[1;13;2;12];[3;11;4;10];[5;17;6;16];[7;15;8;14];[9;1;10;18];[11;3;12;2];[13;5;14;4];[15;7;16;6];[17;9;18;8]],9,3,2,4,11,{1;1;2;-1;2;2;2;2;3;-2;3},reversible,D4,K(10/33)
9_11,Y,9a_20,56,[4; 10; 14; 16; 12; 2; 18; 6; 8],[4122],{-1; 2; -3; 4; -5; 6; -2; 7; -8; 9; -7; 3; -4; 5; -6; 1; -9; 8},[[2;7;3;8];[4;13;5;14];[6;15;7;16];[8;12;9;11];[10;17;11;18];[12;3;13;4];[14;5;15;6];[16;2;17;1];[18;9;1;10]],9,2,2,4,9,{-1;-1;-1;-1;2;-1;-3;2;-3},reversible,D2,K(14/33)
9_12,Y,9a_22,58,[4; 10; 16; 14; 2; 18; 8; 6; 12],[4212],{-1; 2; -3; 4; -5; 6; -7; 3; -2; 8; -9; 7; -6; 5; -4; 1; -8; 9},[[2;9;3;10];[4;16;5;15];[6;14;7;13];[8;3;9;4];[10;18;11;17];[12;8;13;7];[14;6;15;5];[16;2;17;1];[18;12;1;11]],9,1,2,5,10,{1;1;-2;1;3;-2;3;4;-3;4},reversible,D2,K(13/35)
9_13,Y,9a_34,70,[6; 12; 14; 16; 18; 4; 2; 10; 8],[3213],{-1; 2; -3; 4; -5; 6; -7; 8; -9; 5; -2; 3; -4; 1; -6; 9; -8; 7},[[2;12;3;11];[4;14;5;13];[6;16;7;15];[8;18;9;17];[10;6;11;5];[12;4;13;3];[14;2;15;1];[16;10;17;9];[18;8;1;7]],9,3,2,4,11,{1;1;1;1;2;-1;2;2;3;-2;3},reversible,D2,K(10/37)
9_14,Y,9a_17,53,[4; 10; 12; 16; 14; 2; 18; 8; 6],[41112],{1; -2; 3; -4; 5; -6; 7; -8; 4; -3; 2; -1; 8; -9; 6; -5; 9; -7},[[1;12;2;13];[3;10;4;11];[5;16;6;17];[7;1;8;18];[9;4;10;5];[11;2;12;3];[13;9;14;8];[15;6;16;7];[17;15;18;14]],9,1,2,5,10,{-1;-1;-2;1;3;-2;3;-4;3;-4},reversible,D2,K(14/37)
9_15,Y,9a_10,46,[4; 8; 14; 10; 2; 18; 16; 6; 12],[2322],{-1; 2; -3; 4; -5; 6; -4; 3; -2; 7; -8; 9; -7; 5; -6; 1; -9; 8},[[2;9;3;10];[4;7;5;8];[6;15;7;16];[8;3;9;4];[10;14;11;13];[12;17;13;18];[14;5;15;6];[16;2;17;1];[18;11;1;12]],9,2,2,5,10,{-1;-1;-1;-2;1;3;-2;-4;3;-4},reversible,D2,K(16/39)
9_16,Y,9a_25,61,[4; 12; 16; 18; 14; 2; 8; 10; 6],[3;3;2+],{1; -2; 3; -4; 5; -6; 4; -1; 2; -3; 7; -8; 9; -5; 6; -7; 8; -9},[[1;9;2;8];[3;11;4;10];[5;15;6;14];[7;5;8;4];[9;3;10;2];[11;17;12;16];[13;1;14;18];[15;7;16;6];[17;13;18;12]],9,3,3,3,10,{1;1;1;1;2;2;-1;2;2;2},reversible,D2,K(1/3;1/3;3/2)
9_17,Y,9a_14,50,[4; 10; 12; 14; 16; 2; 6; 18; 8],[21312],{1; -2; 3; -4; 5; -6; 7; -1; 2; -8; 4; -3; 8; -9; 6; -5; 9; -7},[[1;9;2;8];[3;12;4;13];[5;16;6;17];[7;1;8;18];[9;3;10;2];[11;4;12;5];[13;11;14;10];[15;6;16;7];[17;15;18;14]],9,2,2,4,9,{-1;2;-1;2;2;2;-3;2;-3},reversible,D4,K(14/39)
9_18,Y,9a_24,60,[4; 12; 14; 16; 18; 2; 10; 8; 6],[3222],{-1; 2; -3; 1; -4; 5; -6; 7; -8; 9; -2; 3; -7; 6; -5; 8; -9; 4},[[2;12;3;11];[4;2;5;1];[6;16;7;15];[8;14;9;13];[10;18;11;17];[12;4;13;3];[14;8;15;7];[16;10;17;9];[18;6;1;5]],9,2,2,4,11,{1;1;1;2;-1;2;2;2;3;-2;3},reversible,D2,K(17/41)
9_19,Y,9a_3,39,[4; 8; 10; 14; 2; 18; 16; 6; 12],[23112],{-1; 2; -3; 4; -5; 3; -6; 7; -8; 5; -4; 6; -2; 1; -9; 8; -7; 9},[[2;14;3;13];[4;11;5;12];[6;4;7;3];[8;17;9;18];[10;5;11;6];[12;8;13;7];[14;2;15;1];[16;9;17;10];[18;16;1;15]],9,1,2,5,10,{-1;2;-1;2;2;3;-2;-4;3;-4},reversible,D2,K(16/41)
9_20,Y,9a_19,55,[4; 10; 14; 16; 2; 18; 8; 6; 12],[31212],{1; -2; 3; -4; 5; -6; 2; -7; 8; -1; 9; -5; 6; -9; 4; -3; 7; -8},[[1;11;2;10];[3;16;4;17];[5;13;6;12];[7;3;8;2];[9;1;10;18];[11;15;12;14];[13;7;14;6];[15;4;16;5];[17;9;18;8]],9,2,2,4,9,{1;1;1;-2;1;3;-2;3;3},reversible,D2,K(15/41)
9_21,Y,9a_21,57,[4; 10; 14; 16; 12; 2; 18; 8; 6],[31122],{-1; 2; -3; 4; -5; 6; -2; 7; -8; 9; -7; 5; -4; 3; -6; 1; -9; 8},[[2;7;3;8];[4;13;5;14];[6;15;7;16];[8;12;9;11];[10;17;11;18];[12;5;13;6];[14;3;15;4];[16;2;17;1];[18;9;1;10]],9,1,2,5,10,{-1;-1;-2;1;-2;3;-2;-4;3;-4},reversible,D2,K(18/43)
9_22,Y,9a_2,38,[4; 8; 10; 14; 2; 16; 18; 6; 12],[211;3;2],{1; -2; 3; -4; 5; -1; 6; -3; 2; -6; 7; -8; 9; -5; 4; -7; 8; -9},[[1;7;2;6];[3;8;4;9];[5;14;6;15];[7;11;8;10];[9;2;10;3];[11;17;12;16];[13;1;14;18];[15;4;16;5];[17;13;18;12]],9,1,3,4,9,{-1;2;-1;2;-3;2;2;2;-3},reversible,D1,K(3/5;1/3;1/2)
9_23,Y,9a_16,52,[4; 10; 12; 16; 2; 8; 18; 6; 14],[22122],{-1; 2; -3; 4; -5; 3; -6; 7; -8; 9; -4; 5; -9; 6; -2; 1; -7; 8},[[2;16;3;15];[4;12;5;11];[6;4;7;3];[8;18;9;17];[10;14;11;13];[12;6;13;5];[14;8;15;7];[16;2;17;1];[18;10;1;9]],9,2,2,4,11,{1;1;1;2;-1;2;2;3;-2;3;3},reversible,D4,K(19/45)
9_24,Y,9a_7,43,[4; 8; 14; 2; 16; 18; 6; 12; 10],[3;21;2+],{1; -2; 3; -4; 5; -3; 6; -7; 8; -9; 2; -1; 9; -6; 7; -8; 4; -5},[[1;13;2;12];[3;7;4;6];[5;1;6;18];[7;14;8;15];[9;16;10;17];[11;3;12;2];[13;10;14;11];[15;8;16;9];[17;5;18;4]],9,1,3,4,9,{1;1;-2;1;3;-2;-2;-2;3},reversible,D1,K(1/3;2/3;3/2)
9_25,Y,9a_4,40,[4; 8; 12; 2; 16; 6; 18; 10; 14],[22;21;2],{-1; 2; -3; 4; -5; 6; -7; 3; -2; 8; -6; 7; -8; 1; -9; 5; -4; 9},[[2;10;3;9];[4;17;5;18];[6;12;7;11];[8;4;9;3];[10;14;11;13];[12;8;13;7];[14;2;15;1];[16;5;17;6];[18;16;1;15]],9,2,3,5,10,{1;1;-2;1;3;2;2;-4;3;-4},reversible,D1,K(2/5;2/3;1/2)
9_26,Y,9a_15,51,[4; 10; 12; 14; 16; 2; 18; 8; 6],[311112],{-1; 2; -3; 4; -5; 6; -7; 8; -2; 9; -4; 3; -9; 1; -8; 5; -6; 7},[[2;10;3;9];[4;11;5;12];[6;17;7;18];[8;15;9;16];[10;14;11;13];[12;3;13;4];[14;2;15;1];[16;5;17;6];[18;7;1;8]],9,1,2,4,9,{-1;-1;-1;2;-1;2;-3;2;-3},reversible,D2,K(18/47)
9_27,Y,9a_12,48,[4; 10; 12; 14; 2; 18; 16; 6; 8],[212112],{-1; 2; -3; 4; -5; 6; -4; 7; -2; 8; -9; 3; -6; 5; -7; 1; -8; 9},[[2;9;3;10];[4;7;5;8];[6;14;7;13];[8;15;9;16];[10;18;11;17];[12;3;13;4];[14;6;15;5];[16;2;17;1];[18;12;1;11]],9,1,2,4,9,{1;1;-2;1;-2;-2;3;-2;3},reversible,D2,K(19/49)
9_28,Y,9a_5,41,[4; 8; 12; 2; 16; 14; 6; 18; 10],[21;21;2+],{1; -2; 3; -4; 2; -5; 6; -7; 5; -8; 9; -6; 7; -3; 4; -1; 8; -9},[[1;16;2;17];[3;15;4;14];[5;3;6;2];[7;13;8;12];[9;7;10;6];[11;18;12;1];[13;9;14;8];[15;5;16;4];[17;10;18;11]],9,1,3,4,9,{1;1;-2;1;3;-2;-2;3;3},reversible,D2,K(2/3;2/3;3/2)
9_29,Y,9a_31,67,[6; 10; 14; 18; 4; 16; 8; 2; 12],[.2.20.2],{-1; 2; -3; 4; -5; 6; -7; 3; -2; 8; -6; 5; -9; 1; -8; 7; -4; 9},[[2;10;3;9];[4;17;5;18];[6;12;7;11];[8;4;9;3];[10;15;11;16];[12;6;13;5];[14;1;15;2];[16;7;17;8];[18;13;1;14]],9,2,3,4,9,{1;-2;-2;3;-2;1;-2;3;-2},reversible,D1,Not Montesinos
